slope sample slice mean std take_throw
0.00053484 0 002 0.000145 0.000232 1
0.00070786 0 003 0.000145 0.000232 1
0.00080374 0 004 0.000145 0.000232 1
0.00075378 0 005 0.000145 0.000232 1
0.00067308 0 006 0.000145 0.000232 1
0.00058168 0 007 0.000145 0.000232 1
0.00049536 0 008 0.000145 0.000232 1
0.00046675 0 009 0.000145 0.000232 1
0.00043844 0 010 0.000145 0.000232 1
0.00035005 0 011 0.000145 0.000232 1
0.00022098 0 012 0.000145 0.000232 1
0.00018187 0 013 0.000145 0.000232 1
0.00014207 0 014 0.000145 0.000232 1
0.00013869 0 015 0.000145 0.000232 1
0.00010176 0 016 0.000145 0.000232 1
0.00011144 0 017 0.000145 0.000232 1
0.00009690 0 018 0.000145 0.000232 1
0.00008213 0 019 0.000145 0.000232 1
0.00005544 0 020 0.000145 0.000232 1
0.00004322 0 021 0.000145 0.000232 1
0.00002928 0 022 0.000145 0.000232 1
0.00003476 0 023 0.000145 0.000232 1
0.00002341 0 024 0.000145 0.000232 1
0.00002026 0 025 0.000145 0.000232 1
0.00002005 0 026 0.000145 0.000232 1
0.00001616 0 027 0.000145 0.000232 1
0.00001319 0 028 0.000145 0.000232 1
0.00001557 0 029 0.000145 0.000232 1
0.00001349 0 030 0.000145 0.000232 1
0.00001243 0 031 0.000145 0.000232 1
0.00001072 0 032 0.000145 0.000232 1
0.00000601 0 033 0.000145 0.000232 1
0.00000622 0 034 0.000145 0.000232 1
0.00000399 0 035 0.000145 0.000232 1
0.00000548 0 036 0.000145 0.000232 1
0.00000311 0 037 0.000145 0.000232 1
0.00000275 0 038 0.000145 0.000232 1
0.00000182 0 039 0.000145 0.000232 1
0.00000312 0 040 0.000145 0.000232 1
0.00000337 0 041 0.000145 0.000232 1
0.00000431 0 042 0.000145 0.000232 1
0.00000449 0 043 0.000145 0.000232 1
0.00000263 0 044 0.000145 0.000232 1
0.00000245 0 045 0.000145 0.000232 1
0.00000205 0 046 0.000145 0.000232 1
0.00000117 0 047 0.000145 0.000232 1
0.00000195 0 048 0.000145 0.000232 1
0.00000119 0 049 0.000145 0.000232 1
0.00000255 0 050 0.000145 0.000232 1
0.00000130 0 051 0.000145 0.000232 1
0.00022383 A 002 0.000028 0.000050 0
0.00016121 A 003 0.000028 0.000050 0
0.00012458 A 004 0.000028 0.000050 0
0.00006398 A 005 0.000028 0.000050 0
0.00003447 A 006 0.000028 0.000050 0
0.00007700 A 007 0.000028 0.000050 0
0.00005122 A 008 0.000028 0.000050 0
0.00004068 A 009 0.000028 0.000050 0
0.00003734 A 010 0.000028 0.000050 0
0.00003071 A 011 0.000028 0.000050 0
0.00004898 A 012 0.000028 0.000050 0
0.00002487 A 013 0.000028 0.000050 0
0.00002553 A 014 0.000028 0.000050 0
0.00003615 A 015 0.000028 0.000050 0
0.00001267 A 016 0.000028 0.000050 0
0.00000003 A 017 0.000028 0.000050 0
0.00000108 A 018 0.000028 0.000050 0
-0.00000001 A 019 0.000028 0.000050 0
-0.00000002 A 020 0.000028 0.000050 0
-0.00000000 A 021 0.000028 0.000050 0
-0.00000000 A 022 0.000028 0.000050 0
0.00000007 A 023 0.000028 0.000050 0
-0.00000001 A 024 0.000028 0.000050 0
0.00000017 A 025 0.000028 0.000050 0
-0.00000000 A 026 0.000028 0.000050 0
-0.00000001 A 027 0.000028 0.000050 0
-0.00000002 A 028 0.000028 0.000050 0
-0.00000002 A 029 0.000028 0.000050 0
-0.00000001 A 030 0.000028 0.000050 0
-0.00000002 A 031 0.000028 0.000050 0
-0.00000001 A 032 0.000028 0.000050 0
-0.00000001 A 033 0.000028 0.000050 0
-0.00000001 A 034 0.000028 0.000050 0
-0.00000002 A 035 0.000028 0.000050 0
-0.00000001 A 036 0.000028 0.000050 0
0.00219783 B 002 0.000447 0.000593 1
0.00178759 B 003 0.000447 0.000593 1
0.00151485 B 004 0.000447 0.000593 1
0.00138826 B 005 0.000447 0.000593 1
0.00112589 B 006 0.000447 0.000593 1
0.00077767 B 007 0.000447 0.000593 1
0.00063112 B 008 0.000447 0.000593 1
0.00072005 B 009 0.000447 0.000593 1
0.00061851 B 010 0.000447 0.000593 1
0.00048056 B 011 0.000447 0.000593 1
0.00049089 B 012 0.000447 0.000593 1
0.00041539 B 013 0.000447 0.000593 1
0.00043490 B 014 0.000447 0.000593 1
0.00043751 B 015 0.000447 0.000593 1
0.00034402 B 016 0.000447 0.000593 1
0.00000957 B 017 0.000447 0.000593 1
0.00000907 B 018 0.000447 0.000593 1
0.00000475 B 019 0.000447 0.000593 1
0.00000637 B 020 0.000447 0.000593 1
0.00000561 B 021 0.000447 0.000593 1
0.00000117 B 022 0.000447 0.000593 1
0.00000330 B 023 0.000447 0.000593 1
0.00000556 B 024 0.000447 0.000593 1
0.00000084 B 025 0.000447 0.000593 1
0.00000365 B 026 0.000447 0.000593 1
0.00000399 B 027 0.000447 0.000593 1
0.00000138 B 028 0.000447 0.000593 1
0.00000204 B 029 0.000447 0.000593 1
0.00000202 B 030 0.000447 0.000593 1
0.00000001 B 031 0.000447 0.000593 1
0.00652171 C 002 0.001739 0.001970 1
0.00615207 C 003 0.001739 0.001970 1
0.00577967 C 004 0.001739 0.001970 1
0.00542010 C 005 0.001739 0.001970 1
0.00466462 C 006 0.001739 0.001970 1
0.00447764 C 007 0.001739 0.001970 1
0.00373093 C 008 0.001739 0.001970 1
0.00338066 C 009 0.001739 0.001970 1
0.00341530 C 010 0.001739 0.001970 1
0.00318780 C 011 0.001739 0.001970 1
0.00326526 C 012 0.001739 0.001970 1
0.00271559 C 013 0.001739 0.001970 1
0.00299510 C 014 0.001739 0.001970 1
0.00276531 C 015 0.001739 0.001970 1
0.00240673 C 016 0.001739 0.001970 1
0.00054112 C 017 0.001739 0.001970 1
0.00059796 C 018 0.001739 0.001970 1
0.00058199 C 019 0.001739 0.001970 1
0.00058560 C 020 0.001739 0.001970 1
0.00057872 C 021 0.001739 0.001970 1
0.00054594 C 022 0.001739 0.001970 1
0.00045274 C 023 0.001739 0.001970 1
0.00043613 C 024 0.001739 0.001970 1
0.00045033 C 025 0.001739 0.001970 1
0.00048346 C 026 0.001739 0.001970 1
0.00027061 C 027 0.001739 0.001970 1
0.00024551 C 028 0.001739 0.001970 1
0.00024588 C 029 0.001739 0.001970 1
0.00024342 C 030 0.001739 0.001970 1
0.00023973 C 031 0.001739 0.001970 1
0.00023937 C 032 0.001739 0.001970 1
0.00022090 C 033 0.001739 0.001970 1
0.00022094 C 034 0.001739 0.001970 1
0.00023097 C 035 0.001739 0.001970 1
0.00021333 C 036 0.001739 0.001970 1
0.00021474 C 037 0.001739 0.001970 1
0.00020340 C 038 0.001739 0.001970 1
0.00021057 C 039 0.001739 0.001970 1
0.00020069 C 040 0.001739 0.001970 1
0.00020964 C 041 0.001739 0.001970 1
0.01168371 D 002 0.006931 0.002860 1
0.01184360 D 003 0.006931 0.002860 1
0.01146101 D 004 0.006931 0.002860 1
0.01114810 D 005 0.006931 0.002860 1
0.01093590 D 006 0.006931 0.002860 1
0.01020654 D 007 0.006931 0.002860 1
0.01047160 D 008 0.006931 0.002860 1
0.01055031 D 009 0.006931 0.002860 1
0.00974060 D 010 0.006931 0.002860 1
0.00976430 D 011 0.006931 0.002860 1
0.00909140 D 012 0.006931 0.002860 1
0.00929686 D 013 0.006931 0.002860 1
0.00939448 D 014 0.006931 0.002860 1
0.00954386 D 015 0.006931 0.002860 1
0.00973953 D 016 0.006931 0.002860 1
0.00449263 D 017 0.006931 0.002860 1
0.00454277 D 018 0.006931 0.002860 1
0.00467068 D 019 0.006931 0.002860 1
0.00478524 D 020 0.006931 0.002860 1
0.00471245 D 021 0.006931 0.002860 1
0.00473350 D 022 0.006931 0.002860 1
0.00477703 D 023 0.006931 0.002860 1
0.00472843 D 024 0.006931 0.002860 1
0.00482215 D 025 0.006931 0.002860 1
0.00475000 D 026 0.006931 0.002860 1
0.00469587 D 027 0.006931 0.002860 1
0.00461353 D 028 0.006931 0.002860 1
0.00482477 D 029 0.006931 0.002860 1
0.00452347 D 030 0.006931 0.002860 1
0.00463812 D 031 0.006931 0.002860 1
0.00452987 D 032 0.006931 0.002860 1
0.00449888 D 033 0.006931 0.002860 1
0.00438989 D 034 0.006931 0.002860 1
0.00445012 D 035 0.006931 0.002860 1
0.00448272 D 036 0.006931 0.002860 1
0.00443447 D 037 0.006931 0.002860 1
0.00446166 D 038 0.006931 0.002860 1
0.00704801 E 004 0.007786 0.000429 1
0.00718742 E 005 0.007786 0.000429 1
0.00780341 E 006 0.007786 0.000429 1
0.00742496 E 007 0.007786 0.000429 1
0.00747625 E 008 0.007786 0.000429 1
0.00735788 E 009 0.007786 0.000429 1
0.00768125 E 010 0.007786 0.000429 1
0.00730275 E 011 0.007786 0.000429 1
0.00755911 E 012 0.007786 0.000429 1
0.00829080 E 013 0.007786 0.000429 1
0.00737128 E 014 0.007786 0.000429 1
0.00776065 E 015 0.007786 0.000429 1
0.00794921 E 016 0.007786 0.000429 1
0.00804861 E 017 0.007786 0.000429 1
0.00769014 E 018 0.007786 0.000429 1
0.00788348 E 019 0.007786 0.000429 1
0.00806762 E 020 0.007786 0.000429 1
0.00754686 E 021 0.007786 0.000429 1
0.00733289 E 022 0.007786 0.000429 1
0.00748962 E 023 0.007786 0.000429 1
0.00800560 E 024 0.007786 0.000429 1
0.00745332 E 025 0.007786 0.000429 1
0.00773646 E 026 0.007786 0.000429 1
0.00778977 E 027 0.007786 0.000429 1
0.00761953 E 028 0.007786 0.000429 1
0.00834472 E 029 0.007786 0.000429 1
0.00882016 E 030 0.007786 0.000429 1
0.00777300 E 031 0.007786 0.000429 1
0.00834324 E 032 0.007786 0.000429 1
0.00766885 E 033 0.007786 0.000429 1
0.00807813 E 034 0.007786 0.000429 1
0.00702236 E 035 0.007786 0.000429 1
0.00802528 E 036 0.007786 0.000429 1
0.00809283 E 037 0.007786 0.000429 1
0.00736315 E 038 0.007786 0.000429 1
0.00862244 E 039 0.007786 0.000429 1
0.00856214 E 040 0.007786 0.000429 1
0.00825608 E 041 0.007786 0.000429 1
0.00048113 f 002 0.003891 0.004907 1
0.00028039 f 003 0.003891 0.004907 1
0.00023099 f 004 0.003891 0.004907 1
0.00012084 f 005 0.003891 0.004907 1
0.00019788 f 006 0.003891 0.004907 1
0.00009998 f 007 0.003891 0.004907 1
0.00008225 f 008 0.003891 0.004907 1
0.00006017 f 009 0.003891 0.004907 1
0.00007094 f 010 0.003891 0.004907 1
0.00005190 f 011 0.003891 0.004907 1
0.00004400 f 012 0.003891 0.004907 1
0.00005284 f 013 0.003891 0.004907 1
0.00007027 f 014 0.003891 0.004907 1
0.00009399 f 015 0.003891 0.004907 1
0.00004510 f 016 0.003891 0.004907 1
0.00002435 f 017 0.003891 0.004907 1
0.00003897 f 018 0.003891 0.004907 1
0.00003589 f 019 0.003891 0.004907 1
0.00003723 f 020 0.003891 0.004907 1
0.00004027 f 021 0.003891 0.004907 1
0.00002418 f 022 0.003891 0.004907 1
0.00003019 f 023 0.003891 0.004907 1
0.00001844 f 024 0.003891 0.004907 1
0.00003596 f 025 0.003891 0.004907 1
0.00003666 f 026 0.003891 0.004907 1
0.01000087 f 027 0.003891 0.004907 1
0.00994665 f 028 0.003891 0.004907 1
0.01029700 f 029 0.003891 0.004907 1
0.01009243 f 030 0.003891 0.004907 1
0.00995598 f 031 0.003891 0.004907 1
0.01014531 f 032 0.003891 0.004907 1
